index,P,Q,VaR,VaI,VbR,VbI,VcR,VcI
140,44343.53,17.07,202.04,-2.27,-103.11,-180.5,-103.96,176.15
141,44391.78,17.82,202.04,-2.26,-103.1,-180.51,-103.96,176.15
142,44440.07,18.53,202.05,-2.26,-103.1,-180.51,-103.97,176.15
143,44488.36,19.22,202.05,-2.25,-103.09,-180.52,-103.98,176.14
144,44536.61,19.89,202.06,-2.24,-103.09,-180.53,-103.99,176.14
145,44584.8,20.52,202.06,-2.23,-103.08,-180.53,-104.0,176.14
146,44632.89,21.13,202.07,-2.22,-103.08,-180.54,-104.01,176.14
147,44680.85,21.71,202.07,-2.22,-103.07,-180.55,-104.02,176.14
148,44728.65,22.27,202.08,-2.21,-103.07,-180.55,-104.03,176.14
149,44776.26,22.79,202.09,-2.2,-103.06,-180.56,-104.04,176.14
150,44823.65,23.3,202.09,-2.19,-103.06,-180.57,-104.05,176.14
151,44870.79,23.77,202.1,-2.18,-103.05,-180.57,-104.05,176.14
152,44917.66,24.22,202.1,-2.18,-103.05,-180.58,-104.06,176.14
153,44964.23,24.65,202.11,-2.17,-103.04,-180.59,-104.07,176.14
154,45010.47,25.05,202.11,-2.16,-103.04,-180.59,-104.08,176.14
155,45056.35,25.42,202.12,-2.15,-103.03,-180.6,-104.09,176.13
156,45101.86,25.77,202.12,-2.15,-103.03,-180.6,-104.1,176.13
157,45146.96,26.1,202.13,-2.14,-103.03,-180.61,-104.11,176.13
158,45191.64,26.4,202.13,-2.13,-103.02,-180.62,-104.12,176.13
159,45235.88,26.67,202.14,-2.12,-103.02,-180.62,-104.12,176.13
160,45279.64,26.92,202.14,-2.12,-103.01,-180.63,-104.13,176.13
161,45322.92,27.15,202.15,-2.11,-103.01,-180.64,-104.14,176.13
162,45365.68,27.36,202.15,-2.1,-103.0,-180.64,-104.15,176.13
163,45407.92,27.54,202.16,-2.1,-103.0,-180.65,-104.16,176.13
164,45449.6,27.7,202.16,-2.09,-102.99,-180.65,-104.17,176.13
165,45490.73,27.83,202.16,-2.08,-102.99,-180.66,-104.17,176.13
166,45531.26,27.95,202.17,-2.08,-102.98,-180.66,-104.18,176.12
167,45571.2,28.04,202.17,-2.07,-102.98,-180.67,-104.19,176.12
168,45610.53,28.11,202.18,-2.06,-102.98,-180.68,-104.2,176.12
